usage_start_date,billing_account_id,project_id,project_name,environment,team,service_description,sku_description,resource_name,location,usage_amount,usage_unit,cost,credits,net_cost,labels
2026-01-01,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Compute Engine,VM Instance Core,gce-batch-large,us-central1,862.71,hour,92.98,-0.0,92.98,env=production;team=retail-platform;owner=portfolio
2026-01-01,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,BigQuery,Storage,bq-raw-events,asia-southeast1,281.64,GiB-month,72.22,-0.0,72.22,env=production;team=retail-platform;owner=portfolio
2026-01-01,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,BigQuery,Analysis Slots,bq-analytics-dwh,asia-southeast1,622.29,GiB-month,128.34,-12.83,115.5,env=analytics;team=data-platform;owner=portfolio
2026-01-01,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Cloud Storage,Standard Storage,gcs-archive-temp,asia-southeast2,213.33,GiB-month,27.67,0,27.67,env=production;team=retail-platform;owner=portfolio
2026-01-01,000000-000000-000000,prj-retail-dev,Prj Retail Dev,Development,Retail Platform,Compute Engine,Persistent Disk SSD,gce-legacy-reporting,asia-southeast2,768.3,hour,175.81,-0.0,175.81,env=development;team=retail-platform;owner=portfolio
2026-01-01,000000-000000-000000,prj-retail-dev,Prj Retail Dev,Development,Retail Platform,BigQuery,Analysis Slots,bq-marketing-mart,asia-southeast2,1071.12,GiB-month,118.9,-0.0,118.9,env=development;team=retail-platform;owner=portfolio
2026-01-01,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Cloud Run,vCPU,run-payment-api,us-central1,25.31,hour,7.95,0,7.95,env=analytics;team=data-platform;owner=portfolio
2026-01-01,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,BigQuery,Analysis Slots,bq-marketing-mart,asia-southeast2,863.27,GiB-month,93.22,-4.66,88.56,env=shared;team=shared-services;owner=portfolio
2026-01-01,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Compute Engine,Persistent Disk SSD,gce-web-01,us-central1,694.35,hour,141.67,-14.17,127.5,env=shared;team=shared-services;owner=portfolio
2026-01-01,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Compute Engine,Persistent Disk SSD,gce-dev-test,asia-southeast2,372.46,hour,127.12,-6.36,120.76,env=production;team=retail-platform;owner=portfolio
2026-01-02,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Cloud Storage,Standard Storage,gcs-archive-temp,us-central1,59.53,GiB-month,19.33,0,19.33,env=production;team=retail-platform;owner=portfolio
2026-01-02,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Cloud Logging,Log Ingestion,logging-prod,asia-southeast2,71.92,GiB,15.53,0,15.53,env=analytics;team=data-platform;owner=portfolio
2026-01-02,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Cloud Logging,Log Ingestion,logging-prod,us-central1,56.91,GiB,11.59,0,11.59,env=production;team=retail-platform;owner=portfolio
2026-01-02,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,BigQuery,Storage,bq-raw-events,asia-southeast2,1128.04,GiB-month,87.44,-8.74,78.69,env=shared;team=shared-services;owner=portfolio
2026-01-02,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Cloud SQL,PostgreSQL CPU,sql-orders-prod,asia-southeast1,101.2,hour,32.45,0,32.45,env=production;team=retail-platform;owner=portfolio
2026-01-02,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,BigQuery,Storage,bq-marketing-mart,asia-southeast2,129.15,GiB-month,37.49,-3.75,33.75,env=production;team=retail-platform;owner=portfolio
2026-01-02,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Compute Engine,Persistent Disk SSD,gce-legacy-reporting,asia-southeast2,409.61,hour,118.04,-5.9,112.14,env=production;team=retail-platform;owner=portfolio
2026-01-02,000000-000000-000000,prj-retail-dev,Prj Retail Dev,Development,Retail Platform,BigQuery,Storage,bq-analytics-dwh,us-central1,1361.23,GiB-month,75.8,-0.0,75.8,env=development;team=retail-platform;owner=portfolio
